NAME,IMPORTANT
alacritty,N
alsa-utils,Y
ani-cli-git,N
base,Y
base-devel,Y
bashmount,N
bc,N
binwalk,N
bitwarden,N
brave-bin,N
chromium,N
clipnotify,N
cmake,N
cppcheck,N
cronie,N
detox,N
dialog,Y
discord,N
docker,N
docker-compose,N
droidcam,N
efibootmgr,Y
exifcleaner-bin,N
ferdi-bin,N
filezilla,N
firefox,N
flameshot,N
foxitreader,N
fsearch,N
fzf,N
gdb,N
gimp,N
git,Y
gnu-netcat,N
grub,Y
hdparm,N
htop,N
imagemagick,N
imwheel,N
intel-ucode,Y
jdk8-openjdk,N
jdk-openjdk,N
jetbrains-toolbox,N
keepass,N
keepass-plugin-keeagent,N
keychain,N
libimobiledevice,N
libreoffice-still,N
libxft-bgra,N
linux,Y
linux-firmware,Y
linux-headers,Y
lxappearance,N
man-pages,Y
mpv,N
mutt-wizard-git,N
nasm,N
neofetch,N
neovim,Y
net-tools,N
networkmanager,Y
nitrogen,N
nmap,N
noisetorch,N
noto-fonts,Y
noto-fonts-emoji,Y
ntfs-3g,N
nvidia,Y
nvidia-settings,Y
nvidia-utils,Y
nvimpager-git,N
obs-studio,N
octave,N
openssh,N
orchis-theme-bin,N
p7zip,N
pam-gnupg,N
pandoc-bin,N
pcmanfm,N
pdfjumbler,N
pdfslicer,N
perl-image-exiftool,N
picom-git,N
piper,N
sudo,Y
pipewire,Y
pipewire-alsa,Y
pipewire-pulse,Y
psensor,N
pulsemixer,N
python-pip,N
python-pynvim,N
python-pywal,N
qalculate-gtk,N
qemu,N
r,N
ranger,N
redshift,N
reflector,Y
rtl8821cu-dkms-git,N
scdoc,N
seahorse,N
shellcheck-bin,N
spotify,N
stegsolve,N
strace,N
sxiv,N
tcpdump,N
tela-icon-theme-bin,N
texlive-bin,N
tk,N
tmux,N
traceroute,N
trash-cli,N
ttf-fira-code,Y
ttf-joypixels,N
ttf-meslo-nerd-font-powerlevel10k,N
unclutter,N
unrar,N
unzip,N
usb_modeswitch,N
usbutils,N
valgrind,N
vim,N
virtualbox,N
visual-studio-code-bin,N
wget,N
xclip,N
xcompmgr,N
xdg-user-dirs,Y
xdg-utils,Y
xdotool,N
xorg,N
xorg-xinit,N
xsel,N
youtube-dl,N
zaread-git,N
zathura,N
zathura-pdf-mupdf,N
zsh,Y
