NAME,IMPORTANT,INSTALLER
base,Y,A
base-devel,Y,A
linux,Y,A
linux-firmware,Y,A
libxft-bgra,N,C
alacritty,N,B
alsa-utils,Y,B
bc,N,B
binwalk,N,B
bitwarden,N,B
chromium,N,B
clipnotify,N,B
cmake,N,B
cppcheck,N,B
cronie,N,B
detox,N,B
dialog,N,B
discord,N,B
docker,N,B
docker-compose,N,B
efibootmgr,Y,B
filezilla,N,B
firefox,N,B
flameshot,N,B
fzf,N,B
gdb,N,B
gimp,N,B
git,Y,B
gnome-keyring,N,B
gnu-netcat,N,B
grub,Y,B
hdparm,N,B
htop,N,B
imagemagick,N,B
imwheel,N,B
intel-ucode,Y,B
jdk8-openjdk,N,B
jdk-openjdk,N,B
keepass,N,B
keepass-plugin-keeagent,N,B
keychain,N,B
libimobiledevice,N,B
libreoffice-still,N,B
linux-headers,Y,B
lxappearance,N,B
man-pages,Y,B
mpv,N,B
nasm,N,B
neofetch,N,B
neovim,Y,B
net-tools,N,B
networkmanager,Y,B
nitrogen,N,B
nmap,N,B
noto-fonts,N,B
noto-fonts-emoji,N,B
ntfs-3g,N,B
nvidia,Y,B
nvidia-settings,Y,B
nvidia-utils,Y,B
obs-studio,N,B
octave,N,B
openssh,N,B
p7zip,N,B
pcmanfm,N,B
pdfslicer,N,B
perl-image-exiftool,N,B
piper,N,B
pipewire,Y,B
pipewire-alsa,Y,B
pipewire-pulse,Y,B
psensor,N,B
pulsemixer,N,B
python-pip,N,B
python-pynvim,N,B
python-pywal,N,B
qalculate-gtk,N,B
qemu,N,B
r,N,B
ranger,N,B
redshift,N,B
reflector,Y,B
scdoc,N,B
seahorse,N,B
strace,N,B
sudo,Y,B
sxiv,N,B
tcpdump,N,B
texlive-bin,N,B
tk,N,B
tmux,N,B
traceroute,N,B
trash-cli,N,B
ttf-fira-code,N,B
ttf-joypixels,N,B
unclutter,N,B
unrar,N,B
unzip,N,B
usb_modeswitch,N,B
usbutils,N,B
valgrind,N,B
vim,N,B
virtualbox,N,B
wget,N,B
xclip,N,B
xcompmgr,N,B
xdg-user-dirs,Y,B
xdg-utils,Y,B
xdotool,N,B
xorg,N,B
xorg-xinit,N,B
xsel,N,B
youtube-dl,N,B
zathura,N,B
zathura-pdf-mupdf,N,B
zsh,Y,B
ani-cli-git,N,C
bashmount,N,C
brave-bin,N,C
droidcam,N,C
exifcleaner-bin,N,C
ferdi-bin,N,C
foxitreader,N,C
fsearch,N,C
jetbrains-toolbox,N,C
mutt-wizard-git,N,C
noisetorch,N,C
nvimpager-git,N,C
orchis-theme-bin,N,C
pam-gnupg,N,C
pandoc-bin,N,C
pdfjumbler,N,C
picom-git,N,C
rtl8821cu-dkms-git,N,C
shellcheck-bin,N,C
spotify,N,C
tela-icon-theme-bin,N,C
ttf-meslo-nerd-font-powerlevel10k,N,C
v4l2loopback-dc-dkms,N,C
visual-studio-code-bin,N,C
